question,generated_answer,expected_answer,context,trace_id,latency_ms,retrieved_doc_ids,relevant_doc_ids,top_retrieval_score,cluster,source_article
What is Large language model and how does it work?,"A large language model (LLM) is a computational model designed for natural language processing tasks like text generation, summarization, translation, and parsing. It works by learning contextual relationships from vast amounts of human-written text, enabling it to generate human-like text. Despite their scale and sophistication, LLMs have limitations that restrict their use in high-stakes applications.","A large language model (LLM) is a computational model designed to perform natural language processing tasks, especially language generation, using contextual relationships derived from a large set of training data. LLMs can generate, summarize, translate and parse text in a variety of contexts, and ","[Source: Large language model]
. The qualifier ""large"" in ""large language model"" is inherently vague, as there is no definitive threshold for the number of parameters required to qualify as ""large"".

---

[Source: Large language model]
A large language model (LLM) is a computational model designed to perform natural language processing tasks, especially language generation, using contextual relationships derived from a large set of training data. LLMs can generate, summarize, translate and parse text in a variety of contexts, and are the technological underpinning of modern chatbots. LLMs can accurately mimic natural language patterns because they are trained on collections of human-written text

---

[Source: Large language model]
== Limitations and challenges ==
Despite sophisticated architectures and massive scale, large language models exhibit persistent and well-documented limitations that constrain their deployment in high-stakes applications.

---

[Source: Fine-tuning (deep learning)]
. A language model with billions of parameters may be LoRA fine-tuned with only several millions of parameters.

---

[Source: Transformer (deep learning)]
In general, there are 3 classes of language modelling tasks: ""masked"", ""autoregressive"", and ""prefixLM"". These classes are independent of a specific modeling architecture such as transformer, but they are often discussed in the context of transformer.",2c0ddce4ab1d13fa7beb464a970658a6,26958.6,"[""doc_14"", ""doc_9"", ""doc_25""]","[""doc_14""]",0.611,ai_ml,Large language model
Explain the key concepts behind Transformer (deep learning).,"onnections and layer normalization.  
- **Encoder-decoder architecture**: Both encoder and decoder layers use these components to process and generate outputs.  
- **Vision Transformers (ViT)**: Adapt the Transformer for images by splitting them into patches, converting them into vectors, and treating them as tokens.  
- **Efficient implementation**: Available in frameworks like TensorFlow and PyTorch, with libraries like Hugging Face’s Transformers providing pretrained models and architectures.","In deep learning, the transformer is a family of artificial neural network architectures based on the multi-head attention mechanism, in which text is converted to numerical representations called tokens, and each token is converted into a vector via lookup from a word embedding table. At each layer","[Source: Transformer (deep learning)]
In deep learning, the transformer is a family of artificial neural network architectures based on the multi-head attention mechanism, in which text is converted to numerical representations called tokens, and each token is converted into a vector via lookup from a word embedding table

---

[Source: Transformer (deep learning)]
=== Efficient implementation ===
The transformer model has been implemented in standard deep learning frameworks such as TensorFlow and PyTorch. Transformers is a library produced by Hugging Face that supplies transformer-based architectures and pretrained models.

---

[Source: Transformer (deep learning)]
Vision transformers adapt the transformer to computer vision by breaking down input images as a series of patches, turning them into vectors, and treating them like embedding vector of tokens in a standard transformer.

---

[Source: Transformer (deep learning)]
Both the encoder and decoder layers have a feed-forward neural network for additional processing of their outputs and contain residual connections and layer normalization steps. These feed-forward layers contain most of the parameters in a transformer model.

---

[Source: Transformer (deep learning)]
The attention mechanism used in the transformer architecture are scaled dot-product attention units. For each unit, the transformer model learns three weight matrices: the query weights 
  
    
      
        
          W
          
            Q
          
        
      
    
    {\displaystyle W^{Q}}
  
, the key weights 
  
    
      
        
          W
          
            K
          
        
      
    
    {\displaystyle W^{K}}
  
, and the value weights",a0ffca149d5492ef37db0f835bffb1a6,4196.8,"[""doc_25""]","[""doc_25""]",0.5312,ai_ml,Transformer (deep learning)
Explain the key concepts behind Retrieval-augmented generation.,"tion not present in their training data.  
2. **Query-Driven Retrieval**: Given a user query, a retriever (often using vector embeddings) identifies the most relevant documents from a database.  
3. **Contextual Generation**: The LLM generates responses by combining the query with context from retrieved documents, enhancing accuracy and relevance.  
4. **Dynamic Updates**: New information can be added to the external knowledge base without retraining the LLM, enabling efficient model adaptation.","Retrieval-augmented generation (RAG) is a technique that enables large language models (LLMs) to retrieve and incorporate new information from external data sources. With RAG, LLMs first refer to a specified set of documents, then respond to user queries. These documents supplement information from ","[Source: Large language model]
=== Retrieval-augmented generation ===

---

[Source: Prompt engineering]
=== Retrieval-augmented generation (RAG) ===
Retrieval-augmented generation is a technique that enables GenAI models to retrieve and incorporate new information. It modifies interactions with an LLM so that the model responds to user queries with reference to a specified set of documents, using this information to supplement information from its pre-existing training data. This allows LLMs to use domain-specific and/or updated information.

---

[Source: Retrieval-augmented generation]
Retrieval-augmented generation (RAG) enhances large language models (LLMs) by incorporating an information-retrieval mechanism that allows models to access and utilize additional data beyond their original training set. Ars Technica notes that ""when new information becomes available, rather than having to retrain the model, all that’s needed is to augment the model’s external knowledge base with the updated information"" (""augmentation"")

---

[Source: Retrieval-augmented generation]
Retrieval-augmented generation (RAG) is a technique that enables large language models (LLMs) to retrieve and incorporate new information from external data sources. With RAG, LLMs first refer to a specified set of documents, then respond to user queries. These documents supplement information from the LLM's pre-existing training data. This allows LLMs to use domain-specific and/or updated information that is not available in the training data

---

[Source: Large language model]
Retrieval-augmented generation (RAG) is an approach that integrates LLMs with document retrieval systems. Given a query, a document retriever is called to retrieve the most relevant documents. This is usually done by encoding the query and the documents into vectors, then finding the documents with vectors (usually stored in a vector database) most similar to the vector of the query. The LLM then generates an output based on both the query and context included from the retrieved documents.",6e668f7c6ebd095a894cf3c42f3685a4,3095.1,"[""doc_14"", ""doc_19"", ""doc_22""]","[""doc_22""]",0.3741,ai_ml,Retrieval-augmented generation
What is Prompt engineering and how does it work?,"engineering is the process of structuring natural language inputs (prompts) to guide generative AI models toward producing desired outputs. It involves refining wording, providing context, specifying style, and assigning roles to improve accuracy, usefulness, and consistency. Techniques include chain-of-thought, tree-of-thought, and retrieval-augmented generation (RAG). Automated prompt engineering uses algorithms to optimize prompts via gradients, feedback, or evolution, reducing manual effort.",Prompt engineering is the process of structuring natural language inputs (known as prompts) to produce specified outputs from a generative artificial intelligence (GenAI) model. Context engineering is the related area of software engineering that focuses on the management of non-prompt contexts supp,"[Source: Prompt engineering]
The Oxford English Dictionary defines prompt engineering as ""The action or process of formulating and refining prompts for an artificial intelligence program, algorithm, etc., in order to optimize its output or to achieve a desired outcome; the discipline or profession concerned with this."" In 2023, prompt (""an instruction given to an artificial intelligence program, algorithm, etc., which determines or influences the content it generates"") was the runner-up to Oxford's word of the year.

---

[Source: Prompt engineering]
. The process of prompt engineering may involve designing clear queries, refining wording, providing relevant context, specifying the style of output, and assigning a character for the AI to mimic in order to guide the model toward more accurate, useful, and consistent responses.

---

[Source: Prompt engineering]
Prompt engineering is the process of structuring natural language inputs (known as prompts) to produce specified outputs from a generative artificial intelligence (GenAI) model. Context engineering is the related area of software engineering that focuses on the management of non-prompt contexts supplied to the GenAI model, such as metadata, API tools, and tokens.

---

[Source: Prompt engineering]
=== Techniques ===
Common terms used to describe various specific prompt engineering techniques include chain-of-thought, tree-of-thought, and retrieval-augmented generation (RAG). A 2024 survey of the field identified over 50 distinct text-based prompting techniques, 40 multimodal variants, and a vocabulary of 33 terms used across prompting research, highlighting a present lack of standardised terminology for prompt engineering.

---

[Source: Prompt engineering]
== Automated prompt generation ==
Recent research has explored automated prompt engineering, using optimization algorithms to generate or refine prompts without human intervention. These automated approaches aim to identify effective prompt patterns by analyzing model gradients, reinforcement feedback, or evolutionary processes, reducing the need for manual experimentation.",969b74bc37e573cb2754f8197e8c8d58,1608.3,"[""doc_19""]","[""doc_19""]",0.2871,ai_ml,Prompt engineering
Explain the key concepts behind Vector database.,"Vector databases store and retrieve data embeddings as vectors in high-dimensional space, enabling semantic and similarity-based searches using approximate nearest neighbor algorithms. They support applications like semantic search, recommendations, multi-modal search, object detection, and retrieval-augmented generation by representing diverse data types (text, images, audio) as vectors where similar items are close in vector space.","A vector database, vector store or vector search engine is a database that stores and retrieves embeddings of data in vector space. Vector databases typically implement approximate nearest neighbor algorithms so users can search for records semantically similar to a given input, unlike traditional d","[Source: Vector database]
A vector database, vector store or vector search engine is a database that stores and retrieves embeddings of data in vector space. Vector databases typically implement approximate nearest neighbor algorithms so users can search for records semantically similar to a given input, unlike traditional databases which primarily look up records by exact match

---

[Source: Vector database]
. Use-cases for vector databases include similarity search, semantic search, multi-modal search, recommendations engines, object detection, and retrieval-augmented generation (RAG).

---

[Source: Vector database]
Vector embeddings are mathematical representations of data in a high-dimensional space. In this space, each dimension corresponds to a feature of the data, with the number of dimensions ranging from a few hundred to tens of thousands, depending on the complexity of the data being represented. Each data item is represented by one vector in this space. Words, phrases, or entire documents, as well as images, audio, and other types of data, can all be vectorized.

---

[Source: Retrieval-augmented generation]
=== Retriever-centric methods ===
These methods aim to enhance the quality of document retrieval in vector databases:

---

[Source: Vector database]
== Applications ==
Vector databases are used in a wide range of machine learning applications including similarity search, semantic search, multi-modal search, recommendations engines, object detection, and retrieval-augmented generation.


=== Retrieval-augmented generation ===",9d36f83db46a957a5ba9a66c4754fdd1,1271.9,"[""doc_27"", ""doc_22""]","[""doc_27""]",0.4661,ai_ml,Vector database
What is the significance of Word embedding in artificial intelligence?,"Word embeddings are significant in artificial intelligence as they provide a meaningful, real-valued vector representation of words that captures semantic similarity, enabling improved performance in natural language processing tasks. They form the foundation for many modern AI applications in text analysis, though they can also encode and amplify societal biases present in training data.","In natural language processing, a word embedding is a representation of a word. The embedding is used in text analysis. Typically, the representation is a real-valued vector that encodes the meaning of the word in such a way that the words that are closer in the vector space are expected to be simil","[Source: Word embedding]
In natural language processing, a word embedding is a representation of a word. The embedding is used in text analysis. Typically, the representation is a real-valued vector that encodes the meaning of the word in such a way that the words that are closer in the vector space are expected to be similar in meaning. Word embeddings can be obtained using language modeling and feature learning techniques, where words or phrases from the vocabulary are mapped to vectors of real numbers.

---

[Source: Word embedding]
. Most new word embedding techniques after about 2005 rely on a neural network architecture instead of more probabilistic and algebraic models, after foundational work done by Yoshua Bengio and colleagues.

---

[Source: Word embedding]
Word embeddings come in two different styles, one in which words are expressed as vectors of co-occurring words, and another in which words are expressed as vectors of linguistic contexts in which the words occur; these different styles are studied in Lavelli et al., 2004. Roweis and Saul published in Science how to use ""locally linear embedding"" (LLE) to discover representations of high dimensional data structures

---

[Source: Word embedding]
Word embeddings may contain the biases and stereotypes contained in the trained dataset, as Bolukbasi et al

---

[Source: Word embedding]
Research done by Jieyu Zhou et al. shows that the applications of these trained word embeddings without careful oversight likely perpetuates existing bias in society, which is introduced through unaltered training data. Furthermore, word embeddings can even amplify these biases.",f030974bc1fe32ec5db233f0187c501d,1165.7,"[""doc_28""]","[""doc_28""]",0.5153,ai_ml,Word embedding
What is the significance of BERT (language model) in artificial intelligence?,"BERT is significant in artificial intelligence for advancing natural language processing through deep bidirectional context understanding, enabling state-of-the-art performance on diverse tasks like text classification, question answering, and language generation after fine-tuning. Its pre-training approach has also spurred research in model interpretability, known as ""BERTology.""",Bidirectional encoder representations from transformers (BERT) is a language model introduced in October 2018 by researchers at Google. It learns to represent text as a sequence of vectors using self-supervised learning. It uses the encoder-only transformer architecture.,"[Source: BERT (language model)]
BERT was originally published by Google researchers Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. The design has its origins from pre-training contextual representations, including semi-supervised sequence learning, generative pre-training, ELMo, and ULMFit. Unlike previous models, BERT is a deeply bidirectional, unsupervised language representation, pre-trained using only a plain text corpus

---

[Source: BERT (language model)]
BERT is meant as a general pretrained model for various applications in natural language processing. That is, after pre-training, BERT can be fine-tuned with fewer resources on smaller datasets to optimize its performance on specific tasks such as natural language inference and text classification, and sequence-to-sequence-based language generation tasks such as question answering and conversational response generation.

---

[Source: BERT (language model)]
Language models like ELMo, GPT-2, and BERT, spawned the study of ""BERTology"", which attempts to interpret what is learned by these models. Their performance on these natural language understanding tasks are not yet well understood

---

[Source: BERT (language model)]
The high performance of the BERT model could also be attributed to the fact that it is bidirectionally trained. This means that BERT, based on the Transformer model architecture, applies its self-attention mechanism to learn information from a text from the left and right side during training, and consequently gains a deep understanding of the context. For example, the word fine can have two different meanings depending on the context (I feel fine today, She has fine blond hair)

---

[Source: BERT (language model)]
. Several research publications in 2018 and 2019 focused on investigating the relationship behind BERT's output as a result of carefully chosen input sequences, analysis of internal vector representations through probing classifiers, and the relationships represented by attention weights.",e82b083941691b0850988f7bf3385356,1159.5,"[""doc_1""]","[""doc_1""]",0.6301,ai_ml,BERT (language model)
What is GPT-4 and how does it work?,"PT series, capable of generating human-like text based on input prompts. It was trained in two stages using vast internet text datasets to predict the next token, enabling it to understand and generate natural language. GPT-4 can process both text and, in the case of GPT-4V, images. However, it may hallucinate (generate incorrect or fabricated information) and lacks transparency in its decision-making, as its post-hoc explanations of reasoning are not verifiable and can contradict prior outputs.",Generative Pre-trained Transformer 4 (GPT-4) is a large language model developed by OpenAI and the fourth in its series of GPT foundation models. GPT-4 is preceded by GPT-3.5 and followed by its successor GPT-5. GPT-4V is a version of GPT-4 that can process images in addition to text.,"[Source: GPT-4]
== Limitations ==
Like its predecessors, GPT-4 has been known to hallucinate, meaning that the outputs may include information not in the training data or that contradicts the user's prompt.

---

[Source: GPT-4]
GPT-4 was trained in two stages. First, the model was given large datasets of text taken from the internet and trained to predict the next token (roughly corresponding to a word) in those datasets

---

[Source: GPT-4]
Generative Pre-trained Transformer 4 (GPT-4) is a large language model developed by OpenAI and the fourth in its series of GPT foundation models.  
GPT-4 is preceded by GPT-3.5 and followed by its successor GPT-5. GPT-4V is a version of GPT-4 that can process images in addition to text. OpenAI has not revealed technical details and statistics about GPT-4, such as the precise size of the model.

---

[Source: GPT-4]
GPT-4 also lacks transparency in its decision-making processes. If requested, the model is able to provide an explanation as to how and why it makes its decisions but these explanations are formed post-hoc; it's impossible to verify if those explanations truly reflect the actual process. In many cases, when asked to explain its logic, GPT-4 will give explanations that directly contradict its previous statements.

---

[Source: Transformer (deep learning)]
~
              
            
          
          
            3
          
        
        ,
        
          
            
              
                x
                ~
              
            
          
          
            4
          
        
      
    
    {\displaystyle {\tilde {x}}_{3},{\tilde {x}}_{4}}
  
 are discarded, and GPT-3 is run on those. This would take 
  
    
      
        4
        
          T
          
            GPT-3-small",b5e67e4267fb5d840bd4de9788853357,2054.6,"[""doc_11"", ""doc_25""]","[""doc_11""]",0.5762,ai_ml,GPT-4
What is Fine-tuning (deep learning) and how does it work?,"rning is a transfer learning technique where a pre-trained model is further trained on a specific task (downstream task) using additional data. It works by adjusting the model’s parameters—either all or a subset—through supervised or weak supervision, often using methods like reinforcement learning from human feedback (RLHF). In some approaches, such as Representation Fine-Tuning (ReFT), instead of updating weights, the model’s internal representations are modified to adapt behavior efficiently.","Fine-tuning (in deep learning) is the process of adapting a model trained for one task (the upstream task) to perform a different, usually more specific, task (the downstream task). It is considered a form of transfer learning, as it reuses knowledge learned from the original training objective. Fin","[Source: Fine-tuning (deep learning)]
Fine-tuning (in deep learning) is the process of adapting a model trained for one task (the upstream task) to perform a different, usually more specific, task (the downstream task). It is considered a form of transfer learning, as it reuses knowledge learned from the original training objective.

---

[Source: Fine-tuning (deep learning)]
Fine-tuning involves applying additional training (e.g., on new data) to the parameters of a neural network that have been pre-trained. Many variants exist.  The additional training can be applied to the entire neural network, or to only a subset of its layers, in which case the layers that are not being fine-tuned are ""frozen"" (i.e., not changed during backpropagation)

---

[Source: Fine-tuning (deep learning)]
Fine-tuning is typically accomplished via supervised learning, but there are also techniques to fine-tune a model using weak supervision. Fine-tuning can be combined with a reinforcement learning from human feedback-based objective to produce language models such as ChatGPT (a fine-tuned version of GPT models) and Sparrow.

---

[Source: Large language model]
=== Fine-tuning ===
Before being fine-tuned, most LLMs are next-token predictors. The fine-tuning shapes the LLM's behavior via techniques like reinforcement learning from human feedback (RLHF) or constitutional AI.
Instruction fine-tuning is a form of supervised learning used to teach LLMs to follow user instructions. In 2022, OpenAI demonstrated InstructGPT, a version of GPT-3 similarly fine-tuned to follow instructions.

---

[Source: Fine-tuning (deep learning)]
Representation fine-tuning (ReFT) is a technique developed by researchers at Stanford University aimed at fine-tuning large language models (LLMs) by modifying less than 1% of their representations. Unlike parameter-efficient fine-tuning (PEFT) methods, which mainly focus on updating weights, ReFT targets representations, suggesting that modifying representations might be a more effective strategy than updating weights.",fb3020a4eedced697fbd51bacf4f472c,1769.8,"[""doc_9"", ""doc_14""]","[""doc_9""]",0.3178,ai_ml,Fine-tuning (deep learning)
Explain the key concepts behind Hallucination (artificial intelligence).,"that contains false or misleading information presented as fact. Unlike human hallucinations, which involve false perceptions, AI hallucinations are typically errors in reasoning or generation, such as confabulation or fabrication. These can occur across various modalities (e.g., text, image) when an AI produces a confident but incorrect output. The term is used inconsistently in research, with alternatives like ""confabulation,"" ""fabrication,"" or ""factual error"" also appearing in the literature.","In the field of artificial intelligence (AI), a hallucination or artificial hallucination (also called bullshitting, confabulation, or delusion) is a response generated by AI that contains false or misleading information presented as fact. This term draws a loose analogy with human psychology, where","[Source: Hallucination (artificial intelligence)]
In the field of artificial intelligence (AI), a hallucination or artificial hallucination (also called bullshitting, confabulation, or delusion) is a response generated by AI that contains false or misleading information presented as fact. This term draws a loose analogy with human psychology, where a hallucination typically involves false percepts

---

[Source: Hallucination (artificial intelligence)]
. However, there is a key difference: AI hallucination is associated with erroneously constructed responses (confabulation), rather than perceptual experiences.

---

[Source: Hallucination (artificial intelligence)]
== In other modalities ==

The concept of ""hallucination"" is not limited to text generation, and can occur with other modalities. A confident response from any AI that seems erroneous by the training data can be labeled a hallucination.

---

[Source: Hallucination (artificial intelligence)]
Some researchers have highlighted a lack of consistency in how the term is used, but also identified several alternative terms in the literature, such as confabulations, fabrications, and factual errors.
In 2023, the Cambridge dictionary updated its definition of hallucination to include this new sense specific to the field of AI.

---

[Source: Hallucination (artificial intelligence)]
==== Hallucination from data ====",1b29c8f3b5522a21db82e5503834a6b7,1932.5,"[""doc_12""]","[""doc_12""]",0.5434,ai_ml,Hallucination (artificial intelligence)
